id,name,type,function,age,representation,position
TH,Thomas Hitzlsperger,0,V,38,US,VS
SH,Stefan Heim,0,V,50,F,MV
JR,Jochen Röttgermann,0,V,54,M,MV
OS,Oliver Schraft,0,G,53,T,MG
CV,Claus Vogt,0,AR,51,NA,P
WP,Wilfried Porth,0,AR,62,NA,SV
RA,Rainer Adrion,0,AR,67,NA,MA
BG,Dr. Bernd Gaiser,0,AR,59,NA,MA
HJ,Hartmut Jenner,0,AR,55,NA,SV
HO,Hermann Ohlicher,0,AR,71,NA,MA
FR,Franz Reiner,0,AR,53,NA,MA
BS,Dr. Bertram Sugg,0,AR,55,NA,MA
VfB,VfB Stuttgart,1,,,,
GZ,Gesicht Zeigen! e.V.,1,,,,
UA,Ubuntu Africa,1,,,,
DAFK,Deutsche Akademie für Fußball-Kultur,1,,,,
BMH,Bundesstiftung Magnus Hirschfeld,1,,,,
VR,VfB Reha-Welt GmbH,1,,,,
SNP,Stadion NeckarPark GmbH & Co. KG,1,,,,
VM,VfB Marketing GmbH,1,,,,
VB,VfB Beteiligungs-GmbH,1,,,,
WF,Württembergischer Fußballverband,1,,,,
KC ,Kommission Clubmedien der DFL,1,,,,
IGH,Intensia Group Holding GmbH,1,,,,
FC,FC Fair Play! e.V.,1,,,,
DA,Daimler AG,1,,,,
KA,Kärcher SE & Co. KG,1,,,,
AKF,Alfred-Kärcher-Förderstiftung,1,,,,
DAM,Daimler Mobility AG,1,,,,
RB,Robert Bosch GmbH,1,,,,
